country,n,price,wage,minutes,price_rank,minutes_rank
Australia,171,2.7522222222222235,16.389064327485393,10.075824344431636,15,1
Italy,15,1.6206666666666671,8.194666666666667,11.866254474454934,1,2
New Zealand,35,2.505142857142858,11.790285714285716,12.748509668976883,9,3
Switzerland,18,5.408888888888889,22.53611111111111,14.400591643042029,35,4
Netherlands,73,3.423561643835618,13.819315068493154,14.864245992803406,23,5
Germany,167,3.3540718562874217,13.438383233532935,14.975336532677407,22,6
Norway,22,4.231818181818181,16.39454545454545,15.487412664966174,34,7
Belgium,19,3.547368421052632,13.500526315789473,15.76546723324627,26,8
Ireland,45,3.442444444444446,12.945555555555558,15.955025319715052,24,9
Canada,130,2.7691538461538427,10.261230769230764,16.19193978829949,16,10
Finland,16,4.018750000000001,14.665625000000002,16.44150862987428,32,11
UK,595,3.838218487394948,13.163378151260519,17.49498545110505,30,12
USA,600,3.6623000000000085,12.279916666666681,17.894095372525623,28,13
Sweden,20,3.883,12.787500000000001,18.219354838709673,31,14
Israel,14,3.6921428571428576,11.75857142857143,18.839752156481595,29,15
Spain,30,2.4246666666666656,7.677999999999998,18.94764261526439,8,16
Austria,13,3.557692307692307,11.213076923076919,19.036838855731634,27,17
Denmark,36,5.4141666666666675,16.741666666666667,19.40368342458935,36,18
France,31,4.112258064516129,11.611290322580645,21.24961800250035,33,19
Singapore,20,3.446999999999999,8.205499999999997,25.205045396380477,25,20
Slovakia,10,2.7049999999999996,6.4239999999999995,25.264632627646325,11,21
Czechia,67,2.7910447761194015,5.901194029850748,28.377763164550537,17,22
Poland,100,3.1754000000000024,6.475199999999998,29.423647146034128,21,23
Portugal,13,2.886923076923077,5.782307692307692,29.956099507782362,19,24
Hungary,17,2.885882352941177,5.702352941176471,30.365174334639985,18,25
Greece,23,2.743478260869565,4.631304347826086,35.54262110401803,14,26
Romania,17,2.540000000000001,3.7405882352941178,40.742255071552144,10,27
Chile,10,2.7340000000000004,3.3560000000000003,48.87961859356377,13,28
Russia,14,2.3814285714285712,2.7357142857142853,52.22976501305483,6,29
Brazil,14,2.149285714285714,2.2685714285714287,56.84508816120906,4,30
Argentina,22,2.397727272727273,2.3868181818181817,60.274233479337276,7,31
Malaysia,18,2.3288888888888897,2.081111111111111,67.14361986118529,5,32
Turkey,10,3.056,2.5100000000000002,73.05179282868525,20,33
Mexico,24,2.714583333333335,2.185,74.54233409610988,12,34
Philippines,11,1.707272727272727,0.9263636363636365,110.5789990186457,2,35
India,11,1.9618181818181817,0.6836363636363637,172.18085106382975,3,36
